,original content,content
0,近期，研究人员发现透明部落利用外贸主题的链接进行攻击活动样本。样本为一个伪装成xls的scr文件，会释放持久化组件与RAT对中招用户持续监控。本次攻击活动中使用的RAT既不是其专属木马CrimsonRAT，也不是常用的ObliqueRAT，而是一款简单的RAT，包含屏幕监控、键盘监控、网络传输的功能。通过持久化组件的特征代码相似度判断这是透明部落的攻击活动，在之前的攻击活动中，透明部落使用了一个持久化组件用于驻留，在此次发现的样本中，同样发现了一个相似的持久化组件，二者的代码相似度很高。02疑似Kimsuky组织冒充韩国知名网站Naver发起钓鱼攻,最近，一支研究团队发现了一种利用外贸主题的链接进行攻击的方法。无法在项目中持续运行的程序可能会对数据进行持久化，并在需要时向后推送。本次攻击活动使用的RAT并非专为木马制造的，而是一款名为ObliqueRAT的简单RAT，能够监测屏幕、键盘和网络的运行状况。最近，透明部落发现了一个与他们的攻击活动相关的持久化组件，而在此之前，他们使用的持久化组件也很相似。这两者之间的相似度非常高。最近，一名韩国学生在网上发布了一段视频，声称自己是纳亚科技的员工，并呼吁大家支持他所在的科技公司。但实际上，他并非纳亚科技的员工，而是通过伪造身份信息，冒充成了韩国一家公司的员工，企图引起人们的关注。
1,最近，研究人员发现了多个伪装为金融部门正常网站的恶意域，且攻击者似乎从11月初便开始分发冒充Naver Help的钓鱼邮件。其中，NAVER是韩国最大的搜索引擎和门户网站。邮件包含重定向至虚假钓鱼页面的恶意URL，发件人用户名是“Naver Center”，邮件以各种主题来欺骗用户，包括更改联系方式、创建新的一次性密码、从不熟悉的位置登录时邮件存储和阻止访问尝试的通知。一旦用户在钓鱼页面中输入帐户凭据时，将同时转发到攻击者者指定的页面。此外，活动中使用的ne.kr顶级域名与Kimsuky组织经常使用的C2域名格式相同。目前，一些恶意域仍然存在，且某些页面允许用户下载可用于语音钓鱼的恶意APK文件。 03CNC组织利用摆渡木马针对军工和教育行,最近，一批来自金融部门的邮件暴露了多个伪装成公司网站的恶意域，而发送这些邮件的攻击者似乎从11月初开始就活动频繁。在韩国，纳威是最大的搜索引擎和门户网站。邮件发出后，用户收到一条来自“Naver Center”的邮件，其中的主题是“更改联系信息”，但实际上是一篇欺诈性的钓鱼邮件。此外，邮件中还包含了更改密码、创建一次性密码以及从不熟悉的位置登录时的提醒。在网站上，用户输入用户名和密码，希望能够访问到他们所拥有的信息，但攻击者可能会利用中间页面来拦截用户的请求。在这次活动中，使用了ne.kr这个顶级域名，与之前的Kimsuky组织使用的C2域名格式相同。最近，一些恶意软件通过破解应用程序的API，成功地进行了语音欺骗，对用户进行了欺骗。学军在校园内组织了场演，展示了他们的实力。
2,CNC组织最早于2019年被发现，其命名来源于所使用的远控木马的PDB路径信息中包含的cnc_client，且该组织主要针对军工和教育行业进行攻击。近期，研究人员披露了该组织所使用的两个下载器：PrivateImage.png.exe和YodaoCloudMgr.exe。PrivateImage.png.exe下载器具有摆渡攻击的能力，可利用移动存储设备作为“渡船”，间接从隔离网中窃取攻击者感兴趣的文件。即PrivateImage.png.exe会根据是否在%localappdata%路径下选择两种方式执行。若在%localappdata%路径下，其将不断检测是否有新设备接入；若有，则将文件本身复制到新设备中，以便通过可移动设备传播。反之，首先判断%localappdata%\ImageEditor.exe是否存在：若存在，跳过后续操作并退出。不存在，判断互联网连接状态：若可连网，便下载YodaoCloudMgr.exe下载器。YodaoCloudMgr.exe主要用于下载后续载荷，且该下载器使用欺骗性的具有不可信数字证书的C2节点进行通信。 04巴基斯坦IBO反恐部队遭遇印度组织Confucius网络攻,近几年来，随着网络攻击的不断增长，对国防和教育领域的保护需求也越来越迫切，因此CNCC组织决定开发针对军工和教育行业的远控木马。最近，一支研究人员团队发布了一份报告，报告了他们正在使用的两个下载器：PrivateImage.exe 和 YodaoCloudMgr.exe。来自外部的攻击者可能会利用移动存储设备进行渡河攻击，而你也可以向来自外部的攻击者发起渡河攻击，进一步获取他们感兴趣的文件。在此问题中，需要解释如何使用本地数据文件来执行私有图像的下载操作。当你想要向新设备展示你的本地数据时，你可以通过点击“%localappdata%”路径下的文件来触发这个操作。当新设备接入时，文件将被复制到新设备上，以便通过移动设备进行传播。首先，需要确认本地是否存在名为“ImageEditor.exe”的程序。若存在，则可以跳过后续操作并退出。无法连接互联网，因此无法下载YodaoCloudMgr.exe。在YodaoCloud中，当需要下载最新的数据时，可以使用欺骗性的数字证书C2节点进行通信。巴基斯坦的军队在印度组织的攻击中遭受了重创。
3,研究人员近期捕获了一起针对巴基斯坦木尔坦地区武装力量的网络攻击事件，攻击者以木尔坦的罗德兰区基于情报的反恐行动(intelligence-based operation，IBO)报告为诱饵，尝试投递一种变种木马程序MessPrint以控制受害者设备。经分析，该事件的主导者为APT组织Confucius。本次攻击中，Confucius沿用了其常见的诱饵构建模式，通过利用名为“IBO_Lodhran.doc”（罗德兰地区基于情报的行动）以及“US_Dept_of_State_Fund_Allocations_for_Pakistan.doc”（美国国务院对巴基斯坦的资金分配）的诱饵文档，分别针对巴基斯坦的安全部队与外交类政府部门发起鱼叉式网络钓鱼攻击。当上述钓鱼文档中的宏被执行后，文档将向指定目录释放一个名为gist.txt的加密文件，该文件实际上是一种powershell木马，其最终下载名为VERSION.dll的变种木马程序：MessPrint。新版MessPrint木马程序在功能和对抗方面的变化很大，主版本号从2.X.X升级至3.1.0，且其主要功能分为运行日志记录、受害者主机信息上传与命令执行三部分。05波兰警告亲俄黑客组织Ghostwriter发动袭,最近，一支巴基斯坦木尔坦地区的武装力量团队被黑客攻击，原因是在一份情报中提到了木坦的罗德兰区。黑客利用了这个情报，向目标设备发送了一段MessPrint程序，以控制受害者的设备。学生活动的组织者是来自亚太地区的APT成员。最近，美国国务院发布了一份名为“IBO_Lodhan”的文档，向巴基斯坦的安全部队发出警告，提醒其需要注意安全问题。同时，美国国务院还发布了一份名为“US_Dept_of_State_Fund_Allocations_for_Pakistan.doc”的文档，对巴基斯坦的外交部门进行了提醒。这两篇文档都是基于情报的攻击手段，旨在引起巴基斯坦注意。在这种情况下，通过执行上述钓鱼文档中的宏，可以访问到名为gist.txt的加密文件，该文件实际上是一个PowerShell木马，最终会生成名为VERSION.dll的变种木马程序。最近，MessPrint 的升级版本号从2.X.X升级到了3.1.0，带来了重大改进和更新。新版本的亮点包括运行日志记录、受害者主机信息上传和命令执行等功能。最近，波兰的一个网络安全专家接到一份来自俄罗斯的黑客活动信息，其中包括了攻击者的身份和攻击目标。
4,GhostWriter 至少从 2017 年开始活跃，此前观察到它冒充立陶宛、拉脱维亚和波兰的记者，向当地观众传播虚假信息和反北约言论。近日，波兰政府警告称，GhostWriter 近期一直关注波兰，试图侵入电子邮件账户收集信息，并控制社交媒体账户传播虚假信息。俄罗斯黑客攻击的目标是公共领域和国家组织、战略能源和军备供应商以及其他重要实体。其公告中的一个案例是“GhostWriter”组织建立了冒充政府域名 gov.pl 的网站，向据称得到欧洲资金支持的波兰居民宣传虚假经济补偿。单击嵌入式按钮“以了解有关该程序的更多信息”会将受害者带到一个钓鱼网站。此外，针对议会网站 ('sejm.gov.pl') 的 DDoS（分布式拒绝服务）的攻击，被归因于亲俄罗斯的所谓黑客活动主义者 NoName057(16)。攻击发生在议会通过决议承认俄罗斯是支持恐怖主义的国家后的第二天，公众无法访问该网站。攻击行动或事件情报01攻击者对哥伦比亚银行发起SQL注入攻击以部署BitRAT恶意软,近两年来，一名😉的作家在立陶宛、拉脱维亚和波兰的媒体活动中频繁出现，他通过发布虚假信息和反北约言论来挑战当地观众的认知。波兰政府发出警告，提醒那些与波兰的GhostWriter有关的人，要密切关注他们的行动，因为😉😄 最近波兰政府发布了一篇报道，宣布正在调查波兰GhostWriter的活动，以打击利用社交媒体账户传播虚假信息的行为。在当前国际局势下，俄罗斯黑客活动频繁，对公共领域和国家组织、战略能源和军备供应商等目标造成了影响。最近，一个名为“GhostWriter”的组织发布了一篇博客，声称他们为波兰的居民提供了虚假的政府支持，并使用了虚构的域名 gov.pl。在线教育平台的一个内置按钮会引导用户访问一个钓鱼网站。最近，一家俄罗斯的黑客组织对议会网站（sejm.gov.pl）发起了分布式拒绝服务攻击，原因是因为亲ussian。无法访问俄罗斯政府网站，因为其支持了恐怖主义活动。最近，一家名为哥伦比亚银行的金融机构遭受了SQL注入攻击，攻击者成功入侵了该网站的系统。
5,最近有报告称，攻击者一直在使用哥伦比亚银行客户的被盗信息作为网络钓鱼电子邮件的诱饵，最终目标是在受害者系统上部署BitRAT恶意软件。BitRAT是一种相当新的、臭名昭著的远程访问木马，其自2021年2月起便在地下网络犯罪市场和论坛上以相对较低的20美元价格进行销售。据研究人员描述，攻击者主要通过对哥伦比亚一家合作银行的IT基础设施发起SQL注入攻击，以窃取银行敏感信息并制作令人信服的Excel诱饵文件。泄露的详细信息包括Cédula号码(哥伦比亚公民的国民身份证件），电子邮件地址，电话号码，客户姓名，付款记录，工资详细信息和地址等。此外，Excel文件包含一个高度混淆的宏，它会释放并执行一个可加载第二阶段dll文件的.inf负载。dll文件则最终使用WinHTTP库将BitRAT嵌入式有效负载从GitHub下载到受害者系统中的%temp%目录。 02黑客组织利用PureLogs窃取程序入侵意大,"最近收到一份报告，报告称😉攻击者正在利用哥伦比亚银行客户的个人信息进行网络钓鱼，目的是感染名为BitRAT的恶意软件。近两年来，一款名为“BitRAT”的远程访问木马在地下网络市场和论坛上引起了轰动，其售价仅为20美元。最近，一支来自哥伦比亚的团队成功入侵了合作银行的IT系统，通过向银行服务器注入SQL注入攻击，成功窃取了敏感信息，并制作了一份令人信服的Excel文件。在这种情况下，可以轻松地获取哥伦比亚公民的国民身份证件号码、电子邮件地址、电话号码、客户姓名、付款记录、工资详细信息和地址等信息。在使用Excel时，如果出现了一组难以理解的宏，那么你可能会注意到这些宏会自动执行，而且会在执行时对数据进行处理。最近，有一组宏对Excel文件的处理方式进行了更改，这样就会在加载第二阶段dll文件时产生混淆。问题：如何将BitRAT的副本从GitHub下载并嵌入到受害系统的%temp%目录中？

分析和解答：通过使用WinHTTP库，可以方便地将BitRAT的副本从GitHub下载并嵌入到受害系统的%temp%目录中。

答案：WinHTTP库。最近，一家名为“入侵者”的网络安全公司成功入侵了另一家公司的计算机系统，并窃取了其中的程序。"
6,最近，意大利TG Soft网络安全机构发现Alibaba2044黑客组织使用PureLogs信息窃取程序针对意大利开展了恶意的垃圾邮件活动。邮件包含一个可下载zip文件的链接，压缩文件伪装成批处理文件的cabinet文件。一旦目标用户打开此文件，PureLogs恶意软件将在受害者系统上成功执行。PureLogs由名为PureCoder的新黑客组织开发，该组织在暗网上销售了多种工具，包括挖矿、信息窃取和加密恶意软件。其中，PureCoder推广和销售的最具影响力的两个恶意软件包括PureLogs和PureCrypt。PureLogs是一种恶意的DotNET程序，旨在从浏览器、加密钱包和其他应用程序中窃取数据，攻击者以每年99美元的价格出售这款软件。PureCrypter则具备传播多种RAT和窃取工具的功能，其每月订阅价格为59美元，终身订阅价格为245美元。 03BlackCat勒索软件组织创建泄露受害者数据的网,最近，意大利的一支网络安全团队发现，阿里巴巴的Alibaba2044黑客组织正在利用PureLogs信息窃取程序，对意大利进行垃圾邮件攻击。邮件中包含的下载 zip 文件可以打开为批处理文件。打开该文件后，PureLogs恶意软件将被激活。最近，一家名为PureCoder的新黑客组织在网上发布了一系列工具，其中包括用于挖掘、信息窃取和加密的恶意软件。最近，一名学生将他们的编程技能分享给了他们的同学，并发布了一篇博客，名为“PureCoder：推广编程文化”，其中涉及了两个备受关注的恶意软件：PureLogs和PureCrypt。最近，一位名为PureLogs的攻击者购买了DotNET的一个程序，它可以从浏览器、加密钱包和其他应用程序中窃取数据，并以此每年售价99美元。最近，一家名为PureCrypter的公司推出了一款可以传播RAT和黑客攻击信息的工具，月费为59美元，终身费为245美元。最近，一家名为“BlackCat”的公司正在运营着一款名为“Venture”的软件，该软件会向用户推送一些来自其他用户的敏感信息。
7,BlackCat勒索软件组织正在尝试一种新的迫使受害者支付赎金的策略，他们在公共互联网上创建一个欺诈网站，披露从受害者那里窃取的个人数据。BlackCat勒索软件组织也被称为Alphv，据称从美国一家小型会计公司窃取了3.5GB的数据，所有这些数据显然都可以在这个欺诈网站上找到，该网站解析出的域名与该会计师事务所的合法域名只有一个微小的拼写错误。研究人员看到的数据似乎属于该会计师事务所的员工和客户，包括明文密码、员工详细信息、审计报告、客户的纳税申报单细节、驾驶执照和未经编辑的护照扫描件。 恶意代码情报01Raspberry Robin蠕虫不断进化以攻击欧洲金融和保险部,最近，黑猫组织发布了一篇新闻，宣布他们将尝试通过一个名为“黑猫之眼”的计划，向受害者敲响警钟，要求他们支付赎金。这一策略是对之前黑客攻击的一个回应，也是黑猫组织对公共网络安全的重视。最近，一家小型会计公司被黑猫组织盗取了3.5GB的数据，这些数据显然可以在网站上找到，而网站的域名与公司名称的差异非常小。研究人员发现，该会计师事务所的员工和客户都持有明文密码、员工详细信息、审计报告、客户的纳税申报单细节和未经编辑的护照扫描件。最近，一支来自欧洲金融和保险行业的团队成功研发了一种能够攻击罗伯特·卡门的恶意代码。
8,最近研究人员发现，欧洲金融和保险业已成为新版本Raspberry Robin蠕虫的目标。Raspberry Robin也被称为QNAP蠕虫，由微软追踪为DEV-0856的组织运营，主要通过受感染的USB驱动器进行传播。但攻击者在本次活动中利用了两种手段分发该恶意软件：1)通过恶意链接或附件诱导受害者下载伪装为压缩文件的MSI安装程序；2)通过在eu[.]adbison-redirect[.]com上托管的恶意广告活动。此外，报告显示Raspberry Robin最新版本更新了下载器机制，并增加了反分析能力，同一个QNAP服务器被多轮攻击使用，且受害者数据不再是明文形式。另外，活动受害者主要为讲西班牙语和葡萄牙语的组织，且攻击者开始收集更多的受害者系统数据。02基于Lockbit3.0勒索软件构建器的新加密器在国内传,最近，欧洲的金融和保险行业正在遭受名为Raspberry Robin的蠕虫的攻击。最近，微软发布了名为“Dev-0856”的😉款 rook，其内置的 USB 病毒活动引起了人们的关注。最近，一名攻击者利用两种手段将恶意软件传播给目标用户：一是通过恶意链接，二是通过在eu.adbisson.redirect.com上托管的广告活动。最近，一则消息宣布了Raspberry Robin的下一代下载器已经推出，并具备了对攻击的防御能力。这意味着，在接收到来自同一QNAP服务器的多个请求时，用户可以更加安全地共享数据。最近，一支😉攻击团队正在针对使用西班牙语和葡萄牙语进行攻击，他们还计划收集更多受害者系统的数据。近几个月，一款名为“Lockbit 3.0”的加密软件在中国引起轰动，该软件能够对数据进行加密处理，并支持最新的加密算法。
9,研究人员近期发现，基于2022年9月泄露的Lockbit3.0勒索病毒构建器开发的新加密器正在国内传播，且该加密器只在原有的基础上修改了一些细节部分，如加密完成后并未修改桌面图标及被加密文件图标而是仅修改被加密文件扩展、勒索信文件名及内容等。此外，本次勒索活动共发现两个样本，且样本仅在启动方式上存在区别，即文件名含pass的需带密码参数启动，反之则不需带密码参数启动。样本使用Salsa-20算法加密文件，同时由于在加密线程期间，其大量使用RtlEncryptMemory和RtlDecyptMemory保护包含私钥的内存，因而无法直接获取到私钥。样本执行后，被加密的文件默认添加后缀名变化为“.xNimqxKZh”，赎金提示信息文件名则改为“xNimqxKZh.README.txt”。03Shc Linux 恶意软件安装 CoinMine,最近，一支研究人员团队发现了一种基于2022年9月发布的Lockbit 3.0勒索病毒的加密器，该加密器对原有加密文件进行了修改，但未对桌面图标和被加密文件图标进行更改，同时仅修改了加密文件的扩展名、勒索信文件名和内容等。最近发现了一个事件，其中一份样本在启动时带上了密码参数，而另一份则没有。由于在加密过程中使用了Salsa-20算法，同时大量的RtlEncryptMemory和RtlDecyptMemory内存被用于加密过程，因此无法获取到私钥。在执行样本操作后，生成的文件将默认添加“.xNimqxKZh后缀名，而赎金提示信息文件则改名为“xNimqxKZh.README.txt”。最近，一名学生在校内安装了名为CinMine的加密货币挖掘器，并因此在不知情的情况下运行了它。
